branch,objective,pure_target_gain,mixture_target_gain,retained_fraction,pure_worst_non_target,mixture_worst_non_target,worst_delta_improvement,retains_50_percent,attenuates_by_0_01,mixture_meets_attenuation_rule,all_clean_families_nonnegative
mix_s000_c020_r080,classification,0.0207456140350876,0.0039912280701753,0.1923890063424922,-0.2541608333333333,-0.0536196666666666,0.2005411666666666,False,True,False,False
mix_s000_c020_r080,retrieval,-0.0039258333333333,-0.0090866666666666,,-0.0470568333333333,-0.0536196666666666,-0.0065628333333333,False,False,False,False
mix_s000_c040_r060,classification,0.0207456140350876,0.0109649122807017,0.5285412262156448,-0.2541608333333333,-0.0691378333333333,0.185023,True,True,False,False
mix_s000_c040_r060,retrieval,-0.0039258333333333,-0.0235458333333333,,-0.0470568333333333,-0.0691378333333333,-0.0220809999999999,False,False,False,False
mix_s000_c060_r040,classification,0.0207456140350876,0.0162280701754385,0.7822410147991538,-0.2541608333333333,-0.0964332607990662,0.157727572534267,True,True,False,False
mix_s000_c060_r040,retrieval,-0.0039258333333333,-0.0512941666666666,,-0.0470568333333333,-0.0964332607990662,-0.0493764274657329,False,False,False,False
mix_s000_c080_r020,classification,0.0207456140350876,0.019078947368421,0.919661733615222,-0.2541608333333333,-0.1304005552183126,0.1237602781150206,True,True,False,False
mix_s000_c080_r020,retrieval,-0.0039258333333333,-0.0901824999999999,,-0.0470568333333333,-0.1304005552183126,-0.0833437218849793,False,False,False,False
mix_s020_c000_r080,sts,0.0108486752737122,0.0017771564421584,0.1638132211833069,-0.0495253333333333,-0.030627,0.0188983333333333,False,True,False,False
mix_s020_c000_r080,retrieval,-0.0039258333333333,0.0013841666666666,,-0.0470568333333333,-0.030627,0.0164298333333333,False,True,False,False
mix_s020_c020_r060,sts,0.0108486752737122,-0.023366684769417,-2.153874475903764,-0.0495253333333333,-0.0463798333333333,0.0031455,False,False,False,False
mix_s020_c020_r060,classification,0.0207456140350876,0.0079824561403508,0.384778012684988,-0.2541608333333333,-0.0463798333333333,0.207781,False,True,False,False
mix_s020_c020_r060,retrieval,-0.0039258333333333,-0.0105258333333333,,-0.0470568333333333,-0.0463798333333333,0.000677,False,False,False,False
mix_s020_c040_r040,sts,0.0108486752737122,-0.0657990964472573,-6.06517337713086,-0.0495253333333333,-0.0519805,-0.0024551666666666,False,False,False,False
mix_s020_c040_r040,classification,0.0207456140350876,0.011578947368421,0.5581395348837206,-0.2541608333333333,-0.0657990964472573,0.188361736886076,True,True,False,False
mix_s020_c040_r040,retrieval,-0.0039258333333333,-0.0329424999999999,,-0.0470568333333333,-0.0657990964472573,-0.0187422631139239,False,False,False,False
mix_s020_c060_r020,sts,0.0108486752737122,-0.1011803306523599,-9.326514813982232,-0.0495253333333333,-0.0751191666666666,-0.0255938333333333,False,False,False,False
mix_s020_c060_r020,classification,0.0207456140350876,0.0167105263157894,0.8054968287526425,-0.2541608333333333,-0.1011803306523599,0.1529805026809733,True,True,False,False
mix_s020_c060_r020,retrieval,-0.0039258333333333,-0.0751191666666666,,-0.0470568333333333,-0.1011803306523599,-0.0541234973190266,False,False,False,False
mix_s020_c080_r000,sts,0.0108486752737122,-0.1112669705085035,-10.25627255874438,-0.0495253333333333,-0.1910716666666666,-0.1415463333333333,False,False,False,False
mix_s020_c080_r000,classification,0.0207456140350876,0.0183333333333332,0.883720930232557,-0.2541608333333333,-0.1910716666666666,0.0630891666666667,True,True,False,False
mix_s040_c000_r060,sts,0.0108486752737122,-0.0001717903036503,-0.0158351410947537,-0.0495253333333333,-0.0303965,0.0191288333333333,False,True,False,False
mix_s040_c000_r060,retrieval,-0.0039258333333333,-8.499999999998786e-05,,-0.0470568333333333,-0.0303965,0.0166603333333333,False,True,False,False
mix_s040_c020_r040,sts,0.0108486752737122,-0.0301657179579836,-2.780589998032218,-0.0495253333333333,-0.0459226666666666,0.0036026666666666,False,False,False,False
mix_s040_c020_r040,classification,0.0207456140350876,0.0084649122807017,0.4080338266384765,-0.2541608333333333,-0.0459226666666666,0.2082381666666666,False,True,False,False
mix_s040_c020_r040,retrieval,-0.0039258333333333,-0.0163708333333333,,-0.0470568333333333,-0.0459226666666666,0.0011341666666666,False,False,False,False
mix_s040_c040_r020,sts,0.0108486752737122,-0.0574565195587369,-5.296178391288164,-0.0495253333333333,-0.0549358333333333,-0.0054104999999999,False,False,False,False
mix_s040_c040_r020,classification,0.0207456140350876,0.0127192982456139,0.6131078224101467,-0.2541608333333333,-0.0574565195587369,0.1967043137745963,True,True,False,False
mix_s040_c040_r020,retrieval,-0.0039258333333333,-0.0549358333333333,,-0.0470568333333333,-0.0574565195587369,-0.0103996862254036,False,False,False,False
mix_s040_c060_r000,sts,0.0108486752737122,-0.053328962679204,-4.915711949497384,-0.0495253333333333,-0.1309566666666666,-0.0814313333333333,False,False,False,False
mix_s040_c060_r000,classification,0.0207456140350876,0.0150877192982455,0.727272727272726,-0.2541608333333333,-0.1309566666666666,0.1232041666666667,True,True,False,False
mix_s060_c000_r040,sts,0.0108486752737122,-0.0023496789098177,-0.2165867122515285,-0.0495253333333333,-0.0399383333333333,0.009587,False,False,False,False
mix_s060_c000_r040,retrieval,-0.0039258333333333,-0.0071649999999999,,-0.0470568333333333,-0.0399383333333333,0.0071185,False,False,False,False
mix_s060_c020_r020,sts,0.0108486752737122,-0.0241383387717158,-2.225003344897439,-0.0495253333333333,-0.0428051666666666,0.0067201666666666,False,False,False,False
mix_s060_c020_r020,classification,0.0207456140350876,0.0094736842105262,0.4566596194503155,-0.2541608333333333,-0.0428051666666666,0.2113556666666666,False,True,False,False
mix_s060_c020_r020,retrieval,-0.0039258333333333,-0.0345774999999999,,-0.0470568333333333,-0.0428051666666666,0.0042516666666666,False,False,False,False
mix_s060_c040_r000,sts,0.0108486752737122,-0.0218512874303476,-2.014189463601712,-0.0495253333333333,-0.0967999999999999,-0.0472746666666666,False,False,False,False
mix_s060_c040_r000,classification,0.0207456140350876,0.0121491228070175,0.5856236786469345,-0.2541608333333333,-0.0967999999999999,0.1573608333333333,True,True,False,False
mix_s080_c000_r020,sts,0.0108486752737122,-0.0037455708889996,-0.3452560607169836,-0.0495253333333333,-0.0476658333333333,0.0018595,False,False,False,False
mix_s080_c000_r020,retrieval,-0.0039258333333333,-0.0253383333333333,,-0.0470568333333333,-0.0476658333333333,-0.0006089999999999,False,False,False,False
mix_s080_c020_r000,sts,0.0108486752737122,-0.0025080025223789,-0.2311805321020289,-0.0495253333333333,-0.0667574999999999,-0.0172321666666666,False,False,False,False
mix_s080_c020_r000,classification,0.0207456140350876,0.0091228070175438,0.4397463002114159,-0.2541608333333333,-0.0667574999999999,0.1874033333333333,False,True,False,False
mix_s033_c033_r033,sts,0.0108486752737122,-0.0550593098338572,-5.075210423826871,-0.0495253333333333,-0.0518425,-0.0023171666666666,False,False,False,False
mix_s033_c033_r033,classification,0.0207456140350876,0.0101754385964911,0.4904862579281166,-0.2541608333333333,-0.0550593098338572,0.1991015234994761,False,True,False,False
mix_s033_c033_r033,retrieval,-0.0039258333333333,-0.0356683333333333,,-0.0470568333333333,-0.0550593098338572,-0.0080024765005238,False,False,False,False
