model,seed,branch,family,delta
all_minilm,42,classification,STS,-0.1862727290485084
all_minilm,42,classification,Классификация,-0.0592134210526316
all_minilm,42,classification,Кластеризация,-0.0908519999999999
all_minilm,42,classification,Поиск,-0.2484074999999999
all_minilm,42,control,STS,0.011823311366557
all_minilm,42,control,Классификация,0.0088311526315788
all_minilm,42,control,Кластеризация,-0.0418495
all_minilm,42,control,Поиск,-0.0055274999999999
all_minilm,42,retrieval,STS,-0.0008256453296989
all_minilm,42,retrieval,Классификация,0.0052085578947368
all_minilm,42,retrieval,Кластеризация,-0.0399734999999999
all_minilm,42,retrieval,Поиск,-0.0047799999999999
all_minilm,42,sts,STS,0.0110776221752021
all_minilm,42,sts,Классификация,-0.0043624105263158
all_minilm,42,sts,Кластеризация,-0.042097
all_minilm,42,sts,Поиск,-0.0373474999999999
all_minilm,43,classification,STS,-0.1815666467249047
all_minilm,43,classification,Классификация,-0.0565716315789473
all_minilm,43,classification,Кластеризация,-0.089084
all_minilm,43,classification,Поиск,-0.2400599999999999
all_minilm,43,control,STS,0.0119885817688822
all_minilm,43,control,Классификация,0.0081587052631578
all_minilm,43,control,Кластеризация,-0.040689
all_minilm,43,control,Поиск,-0.0096199999999999
all_minilm,43,retrieval,STS,9.992861455240014e-05
all_minilm,43,retrieval,Классификация,0.0053805710526315
all_minilm,43,retrieval,Кластеризация,-0.048069
all_minilm,43,retrieval,Поиск,-0.0033099999999999
all_minilm,43,sts,STS,0.0134080493513813
all_minilm,43,sts,Классификация,-0.0028219631578947
all_minilm,43,sts,Кластеризация,-0.04972
all_minilm,43,sts,Поиск,-0.0452924999999999
all_minilm,44,classification,STS,-0.1849061067846039
all_minilm,44,classification,Классификация,-0.0597125026315789
all_minilm,44,classification,Кластеризация,-0.093998
all_minilm,44,classification,Поиск,-0.2374324999999999
all_minilm,44,control,STS,0.0112752501768104
all_minilm,44,control,Классификация,0.0069154315789472
all_minilm,44,control,Кластеризация,-0.017458
all_minilm,44,control,Поиск,-0.0011599999999999
all_minilm,44,retrieval,STS,0.0015079889125067
all_minilm,44,retrieval,Классификация,0.0053380184210525
all_minilm,44,retrieval,Кластеризация,-0.0506145
all_minilm,44,retrieval,Поиск,-0.0036999999999999
all_minilm,44,sts,STS,0.0125711780713019
all_minilm,44,sts,Классификация,-0.0040308315789474
all_minilm,44,sts,Кластеризация,-0.0451565
all_minilm,44,sts,Поиск,-0.0417999999999999
