model,seed,branch,delta_classification_inter_distance,delta_classification_intra_distance,delta_classification_margin,delta_cosine_std,delta_dimension,delta_effective_rank,delta_hubness_skew_k10,delta_mean_cosine,delta_neighborhood_preservation,delta_participation_ratio,delta_retrieval_margin,delta_retrieval_negative_cosine,delta_retrieval_positive_cosine,delta_sample_size,delta_sts_alignment,delta_sts_mean_cosine,delta_top10_eigenvalue_share,delta_top_eigenvalue_share,delta_uniformity,STS,Классификация,Кластеризация,Поиск
all_minilm,42,control,0.0089156031608579,0.0429300069808959,-0.0340144038200378,-0.0156364142894745,0.0,39.82196044921881,-0.4682614559481024,-0.0397406369447708,-0.5458000000000001,61.71252365555043,-0.0012635588645935,-0.0649141669273377,-0.0661777257919311,0.0,0.056929737329483,-0.0418342947959899,-0.0721011534333229,-0.0161989275366068,-0.1819081306457519,0.011823311366557,0.0088311526315788,-0.0418495,-0.0055274999999999
all_minilm,42,sts,-0.603284239768982,-0.5598957240581512,-0.0433885157108306,-0.0178330242633819,0.0,-31.40483093261713,2.438609278178954,0.5852545090019703,-0.61746,-35.25228528187384,-0.1100462228059769,0.2079795002937317,0.097933292388916,0.0,-0.1860387250781058,0.224345862865448,0.0541116297245025,0.0089708399027586,2.31241512298584,0.0110776221752021,-0.0043624105263158,-0.042097,-0.0373474999999999
all_minilm,42,classification,-0.7060526013374331,-0.80411396920681,0.0980613678693771,-0.0045741274952887,0.0,-157.85093307495112,0.9609082333231916,0.7670256681740284,-0.86521,-123.3330768694736,-0.171182569116354,0.2228922247886657,0.0517096519470214,0.0,-0.2016333118081092,0.2504982948303222,0.4038824439048768,0.2311833556741476,3.0521810054779053,-0.1862727290485084,-0.0592134210526316,-0.0908519999999999,-0.2484074999999999
all_minilm,42,retrieval,-0.0001100301742554,0.0155385732650756,-0.015648603439331,-0.0050803273916243,0.0,15.650802612304744,-0.0563728338148268,-0.0069414116442204,-0.32615,19.73224238031213,0.0594289898872375,-0.07825967669487,-0.0188305974006652,0.0,0.0425757169723511,-0.0255649089813232,-0.0227163583040237,-0.0059219915419817,-0.035994529724121,-0.0008256453296989,0.0052085578947368,-0.0399734999999999,-0.0047799999999999
all_minilm,43,control,0.0078888535499573,0.0424208045005798,-0.0345319509506225,-0.0148059949278831,0.0,37.610214233398494,-0.3217729145492187,-0.0374131370335817,-0.55681,57.366833409478005,-0.0006450712680816,-0.0678049325942993,-0.0684499740600586,0.0,0.0484535992145538,-0.0383045673370361,-0.066825695335865,-0.0148581117391586,-0.1716244220733656,0.0119885817688822,0.0081587052631578,-0.040689,-0.0096199999999999
all_minilm,43,sts,-0.6107211112976073,-0.5664688348770142,-0.0442522764205933,-0.0209003090858459,0.0,-30.512329101562443,3.300720676683324,0.6028965674340725,-0.62418,-33.52698003211255,-0.1135636493563652,0.2164404392242431,0.1028767824172973,0.0,-0.188754305243492,0.2278305292129516,0.050602987408638,0.0079655889421702,2.3799374103546134,0.0134080493513813,-0.0028219631578947,-0.04972,-0.0452924999999999
all_minilm,43,classification,-0.7086130976676941,-0.8039992451667786,0.0953861474990845,-0.0046486184000968,0.0,-156.857192993164,0.8426192299173618,0.7640415988862514,-0.86426,-122.85938014732002,-0.1685229875147343,0.2131068110466003,0.0445839166641235,0.0,-0.1994861885905265,0.2468050122261047,0.4015642404556275,0.2206226643174886,3.040367305278777,-0.1815666467249047,-0.0565716315789473,-0.089084,-0.2400599999999999
all_minilm,43,retrieval,0.0022711157798768,0.0182694792747497,-0.015998363494873,-0.0049459487199783,0.0,15.175521850586025,-0.0399054396854803,-0.0079148709774017,-0.3190499999999999,19.01185893676785,0.0580619275569916,-0.0746079981327056,-0.0165461301803588,0.0,0.0425984859466553,-0.0256070494651794,-0.0218875557184219,-0.0056621674448252,-0.0396478176116952,9.992861455240014e-05,0.0053805710526315,-0.048069,-0.0033099999999999
all_minilm,44,control,0.0105135440826416,0.0379742383956909,-0.0274606943130492,-0.0128533616662026,0.0,32.02673339843753,-0.2464057236914152,-0.0380194550380111,-0.43555,47.30850329187297,-0.0003295540809631,-0.0414350032806397,-0.041764497756958,0.0,0.037485659122467,-0.0285007953643798,-0.054658144712448,-0.0122000556439161,-0.1710553169250488,0.0112752501768104,0.0069154315789472,-0.017458,-0.0011599999999999
all_minilm,44,sts,-0.6022572219371796,-0.5581591129302979,-0.0440981090068817,-0.0199070051312447,0.0,-26.812957763671815,3.09046282623432,0.5874503552913666,-0.6262300000000001,-30.294425621443423,-0.1116502285003662,0.2068789601325988,0.0952286720275878,0.0,-0.1858285665512084,0.2244749665260315,0.0456176251173019,0.0070095937699079,2.319612503051758,0.0125711780713019,-0.0040308315789474,-0.0451565,-0.0417999999999999
all_minilm,44,classification,-0.7097806036472321,-0.8037538155913354,0.0939732119441033,-0.004222109913826,0.0,-157.68939590454096,0.8817198325333939,0.7676869928836823,-0.86312,-123.30661494264852,-0.1707942299544811,0.2156895399093628,0.0448952913284301,0.0,-0.2004267126321792,0.2472953200340271,0.402908205986023,0.2294631954282522,3.0556690096855164,-0.1849061067846039,-0.0597125026315789,-0.093998,-0.2374324999999999
all_minilm,44,retrieval,0.0029446482658386,0.0183265805244445,-0.0153819322586059,-0.0048875883221626,0.0,15.181030273437528,-0.0599326505782458,-0.0073167979717255,-0.3266399999999999,18.95725354354397,0.0586954355239867,-0.0761842131614685,-0.0174887776374816,0.0,0.0425111651420593,-0.0257477760314941,-0.0217195004224776,-0.0054934490472078,-0.0370125770568843,0.0015079889125067,0.0053380184210525,-0.0506145,-0.0036999999999999
