seed,branch,family,observed_delta,expected_linear_delta,interaction_residual
42,mix_s000_c000_r100,sts,0.0005660229809314,0.0005660229809314,0.0
42,mix_s000_c020_r080,sts,-0.0076669709057569,-0.0384475756125784,0.0307806047068215
42,mix_s000_c040_r060,sts,-0.0537007081930054,-0.0774611742060883,0.0237604660130828
42,mix_s000_c060_r040,sts,-0.0967168957326701,-0.1164747727995981,0.0197578770669279
42,mix_s000_c080_r020,sts,-0.1356380292121029,-0.155488371393108,0.019850342181005
42,mix_s000_c100_r000,sts,-0.1945019699866178,-0.1945019699866178,0.0
42,mix_s020_c000_r080,sts,0.0033118568574171,0.0021818841445387,0.0011299727128784
42,mix_s020_c020_r060,sts,-0.0245579081102952,-0.0368317144489711,0.0122738063386758
42,mix_s020_c040_r040,sts,-0.0659248804716933,-0.0758453130424809,0.0099204325707875
42,mix_s020_c060_r020,sts,-0.106282482866082,-0.1148589116359908,0.0085764287699087
42,mix_s020_c080_r000,sts,-0.1140788669444695,-0.1538725102295007,0.0397936432850311
42,mix_s040_c000_r060,sts,-0.0011112147933226,0.0037977453081461,-0.0049089601014687
42,mix_s040_c020_r040,sts,-0.0314517378177022,-0.0352158532853637,0.0037641154676614
42,mix_s040_c040_r020,sts,-0.0598309909699611,-0.0742294518788736,0.0143984609089124
42,mix_s040_c060_r000,sts,-0.0529935166812348,-0.1132430504723834,0.0602495337911486
42,mix_s060_c000_r040,sts,-0.0030452876670034,0.0054136064717534,-0.0084588941387569
42,mix_s060_c020_r020,sts,-0.0273112870592687,-0.0335999921217564,0.0062887050624876
42,mix_s060_c040_r000,sts,-0.0238986235164547,-0.0726135907152662,0.0487149671988114
42,mix_s080_c000_r020,sts,-0.0068948921547747,0.0070294676353608,-0.0139243597901355
42,mix_s080_c020_r000,sts,-0.0027457939331915,-0.031984130958149,0.0292383370249575
42,mix_s100_c000_r000,sts,0.0086453287989681,0.0086453287989681,0.0
42,mix_s033_c033_r033,sts,-0.0568593355449781,-0.0617635394022394,0.0049042038572612
42,mix_s000_c000_r100,classification,0.0044026526315789,0.0044026526315789,0.0
42,mix_s000_c020_r080,classification,0.005992597368421,-0.008407977368421,0.014400574736842
42,mix_s000_c040_r060,classification,-0.0010867894736842,-0.021218607368421,0.0201318178947368
42,mix_s000_c060_r040,classification,-0.0125057921052632,-0.034029237368421,0.0215234452631578
42,mix_s000_c080_r020,classification,-0.0283850263157894,-0.046839867368421,0.0184548410526315
42,mix_s000_c100_r000,classification,-0.059650497368421,-0.059650497368421,0.0
42,mix_s020_c000_r080,classification,0.0087826605263157,0.0029439110526315,0.0058387494736842
42,mix_s020_c020_r060,classification,0.0086452342105263,-0.0098667189473684,0.0185119531578947
42,mix_s020_c040_r040,classification,-0.0054918394736842,-0.0226773489473684,0.0171855094736842
42,mix_s020_c060_r020,classification,-0.0222407289473684,-0.0354879789473684,0.0132472499999999
42,mix_s020_c080_r000,classification,-0.0523761421052631,-0.0482986089473684,-0.0040775331578947
42,mix_s040_c000_r060,classification,0.0110931552631578,0.0014851694736841,0.0096079857894736
42,mix_s040_c020_r040,classification,0.0057025394736841,-0.0113254605263158,0.0170279999999999
42,mix_s040_c040_r020,classification,-0.0128945184210526,-0.0241360905263158,0.0112415721052631
42,mix_s040_c060_r000,classification,-0.0373534736842105,-0.0369467205263158,-0.0004067531578947
42,mix_s060_c000_r040,classification,0.0086694552631578,2.642789473680275e-05,0.008643027368421
42,mix_s060_c020_r020,classification,-0.0032380368421052,-0.0127842021052631,0.0095461652631578
42,mix_s060_c040_r000,classification,-0.0212719684210526,-0.0255948321052631,0.0043228636842105
42,mix_s080_c000_r020,classification,0.0024741289473683,-0.0014323136842105,0.0039064426315789
42,mix_s080_c020_r000,classification,-0.008307947368421,-0.0142429436842105,0.0059349963157894
42,mix_s100_c000_r000,classification,-0.0028910552631579,-0.0028910552631579,0.0
42,mix_s033_c033_r033,classification,-0.0036963842105263,-0.0193796333333333,0.015683249122807
42,mix_s000_c000_r100,classification_transfer,0.0068519999999999,0.0068519999999999,0.0
42,mix_s000_c020_r080,classification_transfer,0.0067670624999999,-0.0105362875,0.0173033499999999
42,mix_s000_c040_r060,classification_transfer,-0.00408875,-0.027924575,0.0238358249999999
42,mix_s000_c060_r040,classification_transfer,-0.0197111875,-0.0453128625,0.0256016749999999
42,mix_s000_c080_r020,classification_transfer,-0.040218125,-0.06270115,0.022483025
42,mix_s000_c100_r000,classification_transfer,-0.0800894375,-0.0800894375,0.0
42,mix_s020_c000_r080,classification_transfer,0.0113730625,0.0047193624999999,0.0066537
42,mix_s020_c020_r060,classification_transfer,0.0089644374999999,-0.012668925,0.0216333625
42,mix_s020_c040_r040,classification_transfer,-0.0095950625,-0.0300572125,0.02046215
42,mix_s020_c060_r020,classification_transfer,-0.0320114375,-0.0474455,0.0154340624999999
42,mix_s020_c080_r000,classification_transfer,-0.070174125,-0.0648337875,-0.0053403374999999
42,mix_s040_c000_r060,classification_transfer,0.0128138124999999,0.0025867249999999,0.0102270874999999
42,mix_s040_c020_r040,classification_transfer,0.0048584374999999,-0.0148015625,0.01966
42,mix_s040_c040_r020,classification_transfer,-0.0193089374999999,-0.03218985,0.0128809125
42,mix_s040_c060_r000,classification_transfer,-0.050705,-0.0495781375,-0.0011268624999999
42,mix_s060_c000_r040,classification_transfer,0.0097841874999999,0.0004540874999999,0.0093300999999999
42,mix_s060_c020_r020,classification_transfer,-0.006679125,-0.0169342,0.010255075
42,mix_s060_c040_r000,classification_transfer,-0.02978075,-0.0343224875,0.0045417375
42,mix_s080_c000_r020,classification_transfer,0.0023031874999999,-0.00167855,0.0039817374999999
42,mix_s080_c020_r000,classification_transfer,-0.01278625,-0.0190668375,0.0062805875
42,mix_s100_c000_r000,classification_transfer,-0.0038111875,-0.0038111875,0.0
42,mix_s033_c033_r033,classification_transfer,-0.007153375,-0.025682875,0.0185295
42,mix_s000_c000_r100,clustering,-0.0412455,-0.0412455,0.0
42,mix_s000_c020_r080,clustering,-0.054048,-0.0532811,-0.0007668999999999
42,mix_s000_c040_r060,clustering,-0.068481,-0.0653167,-0.0031642999999999
42,mix_s000_c060_r040,clustering,-0.072627,-0.0773523,0.0047253
42,mix_s000_c080_r020,clustering,-0.0823745,-0.0893879,0.0070134
42,mix_s000_c100_r000,clustering,-0.1014235,-0.1014235,0.0
42,mix_s020_c000_r080,clustering,-0.032983,-0.043057,0.010074
42,mix_s020_c020_r060,clustering,-0.0503939999999999,-0.0550926,0.0046986
42,mix_s020_c040_r040,clustering,-0.0494705,-0.0671282,0.0176577
42,mix_s020_c060_r020,clustering,-0.0671394999999999,-0.0791638,0.0120243
42,mix_s020_c080_r000,clustering,-0.076021,-0.0911994,0.0151784
42,mix_s040_c000_r060,clustering,-0.025376,-0.0448685,0.0194925
42,mix_s040_c020_r040,clustering,-0.047851,-0.0569041,0.0090531
42,mix_s040_c040_r020,clustering,-0.0519415,-0.0689397,0.0169982
42,mix_s040_c060_r000,clustering,-0.059756,-0.0809753,0.0212192999999999
42,mix_s060_c000_r040,clustering,-0.0428495,-0.04668,0.0038305
42,mix_s060_c020_r020,clustering,-0.0443975,-0.0587156,0.0143181
42,mix_s060_c040_r000,clustering,-0.0388685,-0.0707512,0.0318826999999999
42,mix_s080_c000_r020,clustering,-0.0513649999999999,-0.0484915,-0.0028734999999999
42,mix_s080_c020_r000,clustering,-0.037013,-0.0605271,0.0235140999999999
42,mix_s100_c000_r000,clustering,-0.050303,-0.050303,0.0
42,mix_s033_c033_r033,clustering,-0.051466,-0.064324,0.0128579999999999
42,mix_s000_c000_r100,retrieval,-0.0028999999999999,-0.0028999999999999,0.0
42,mix_s000_c020_r080,retrieval,-0.0090599999999999,-0.0549709999999999,0.045911
42,mix_s000_c040_r060,retrieval,-0.0228349999999999,-0.1070419999999999,0.084207
42,mix_s000_c060_r040,retrieval,-0.0495674999999999,-0.159113,0.1095455
42,mix_s000_c080_r020,retrieval,-0.0910499999999999,-0.211184,0.120134
42,mix_s000_c100_r000,retrieval,-0.263255,-0.263255,0.0
42,mix_s020_c000_r080,retrieval,0.00244,-0.0096364999999999,0.0120764999999999
42,mix_s020_c020_r060,retrieval,-0.0114524999999999,-0.0617074999999999,0.050255
42,mix_s020_c040_r040,retrieval,-0.030355,-0.1137784999999999,0.0834234999999999
42,mix_s020_c060_r020,retrieval,-0.0750399999999999,-0.1658495,0.0908095
42,mix_s020_c080_r000,retrieval,-0.1966774999999999,-0.2179205,0.021243
42,mix_s040_c000_r060,retrieval,-0.0010499999999999,-0.0163729999999999,0.0153229999999999
42,mix_s040_c020_r040,retrieval,-0.0129824999999999,-0.0684439999999999,0.0554614999999999
42,mix_s040_c040_r020,retrieval,-0.0534124999999999,-0.120515,0.0671025
42,mix_s040_c060_r000,retrieval,-0.1333299999999999,-0.172586,0.039256
