,AG News,AG News,sts,sts,classification_transfer,classification_transfer,clustering,clustering,retrieval,retrieval,effective_rank,effective_rank,top10_eigenvalue_share,top10_eigenvalue_share,neighborhood_preservation,neighborhood_preservation,retrieval_margin,retrieval_margin
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
branch,,,,,,,,,,,,,,,,,,
control,-0.0117982456140351,0.004276484477104759,0.0121303434812576,0.0018893676420568596,0.0134739166666666,0.004568658725290902,-0.0350865,0.014788658593665618,-0.0036049999999999333,0.002827902270234906,35.336415608724025,4.831069122919366,-0.061628373960653904,0.00786599219725027,-0.5112233333333333,0.09844547137036484,-0.0015982091426849643,0.002878330533030436
mix_s000_c000_r100,-0.006359649122807,0.000987572828876933,0.0002311347902730318,0.00029696718180686316,0.007920541666666567,0.0009676174515541165,-0.04705683333333333,0.007015436735038908,-0.0039258333333332335,0.0009490203281981548,14.87928771972662,0.2945179229378575,-0.021696835756301835,0.00034228864531354094,-0.32414000000000004,0.0159158505898994,0.05909325679143269,0.00013593009563840107
mix_s000_c020_r080,0.003991228070175333,0.0009698835257674209,-0.0094355734607154,0.0015489415725892363,0.006637520833333267,0.00028558304077291283,-0.05361966666666667,0.0046154308935714055,-0.009086666666666568,0.0005155175393071834,6.101801554362036,1.071134388020795,0.004464904467264839,0.0027134084787214813,-0.5144433333333334,0.008452605121105218,0.0382973700761795,0.0008155235685048813
mix_s000_c040_r060,0.0109649122807017,0.0011190658615941507,-0.054433100142081726,0.0035501144164462746,-0.004905312499999933,0.0014745968477116612,-0.06913783333333333,0.0007921168369207464,-0.023545833333333235,0.001652680272567362,-36.66495259602859,2.408986963035444,0.08803309003512072,0.004537297925902554,-0.6838666666666667,0.004269945354841564,0.012360925475756327,0.003985348764067158
mix_s000_c060_r040,0.016228070175438498,0.0010553692469751142,-0.09643326079906621,0.0032427934879761915,-0.021959479166666632,0.002068957878843092,-0.07697616666666666,0.0044488962769807655,-0.051294166666666564,0.004013933025516659,-73.73316446940099,3.7912337822045967,0.16410531600316372,0.007636802796289244,-0.7465033333333334,0.0012490930042768226,-0.01565624276796977,0.0032995701704345596
mix_s000_c080_r020,0.01907894736842097,0.0012551831597591855,-0.13040055521831265,0.004712679302086566,-0.038465624999999996,0.0015360736791105581,-0.07999499999999997,0.004389969162761824,-0.09018249999999993,0.0008391103920223597,-108.8276036580403,3.5505613347244394,0.24703186750411996,0.008836351910061928,-0.7912966666666668,0.005703072271445772,-0.058796872695287106,0.005106850982040478
mix_s000_c100_r000,0.020745614035087633,0.0016239919808397664,-0.19126817224928164,0.005395767089029052,-0.07849937499999997,0.0016838547329621207,-0.09844033333333334,0.0033523165995074746,-0.25416083333333334,0.009391693914482855,-156.81849288940424,1.3433535867922184,0.3999073505401613,0.005513280699947672,-0.86657,0.0004968903299522745,-0.17198447013894722,0.0009234478216597766
mix_s020_c000_r080,-0.0002192982456141001,0.0014553210546523396,0.0017771564421584665,0.0013706892341934821,0.0110287291666666,0.0009436083116597514,-0.030627,0.0023610158830469534,0.0013841666666667,0.0016711043005549176,6.2114308675130685,1.9557884133946362,-0.006445209185282334,0.0032443550201810634,-0.31249333333333335,0.010596368874918069,0.04569114744663239,0.001720397271660523
mix_s020_c020_r060,0.007982456140350766,0.0005478068419647401,-0.023366684769417,0.004289479960846003,0.0074173124999999005,0.001612078476881631,-0.04637983333333331,0.0052242894811957855,-0.010525833333333267,0.003773816315526356,-9.92618815104162,2.748938893832866,0.033865436911582954,0.0048943121299607414,-0.5699233333333334,0.01893048951647422,0.01452453931172686,0.0025682316685081597
mix_s020_c040_r040,0.011578947368420967,0.0009210526315789137,-0.0657990964472573,0.0010574844478107525,-0.009058666666666633,0.0011272585944681075,-0.051980500000000006,0.0029473997438420178,-0.03294249999999993,0.002746906214270835,-53.76409912109369,1.0627036255637712,0.11929986874262499,0.0022541325999202934,-0.6907666666666666,0.0024453288804031146,-0.021868824958801308,0.0024700270484076057
