model,seed,branch,family,delta
all_minilm,42,classification,STS,-0.18627272904850847
all_minilm,42,classification,Классификация,-0.059213421052631623
all_minilm,42,classification,Кластеризация,-0.09085199999999996
all_minilm,42,classification,Поиск,-0.24840749999999995
all_minilm,42,control,STS,0.011823311366557017
all_minilm,42,control,Классификация,0.00883115263157888
all_minilm,42,control,Кластеризация,-0.0418495
all_minilm,42,control,Поиск,-0.00552749999999995
all_minilm,42,retrieval,STS,-0.0008256453296989497
all_minilm,42,retrieval,Классификация,0.00520855789473682
all_minilm,42,retrieval,Кластеризация,-0.039973499999999995
all_minilm,42,retrieval,Поиск,-0.00477999999999995
all_minilm,42,sts,STS,0.011077622175202117
all_minilm,42,sts,Классификация,-0.004362410526315821
all_minilm,42,sts,Кластеризация,-0.042097
all_minilm,42,sts,Поиск,-0.03734749999999998
all_minilm,43,classification,STS,-0.18156664672490472
all_minilm,43,classification,Классификация,-0.05657163157894738
all_minilm,43,classification,Кластеризация,-0.089084
all_minilm,43,classification,Поиск,-0.24005999999999997
all_minilm,43,control,STS,0.011988581768882234
all_minilm,43,control,Классификация,0.00815870526315786
all_minilm,43,control,Кластеризация,-0.040689
all_minilm,43,control,Поиск,-0.009619999999999974
all_minilm,43,retrieval,STS,9.992861455240014e-05
all_minilm,43,retrieval,Классификация,0.00538057105263154
all_minilm,43,retrieval,Кластеризация,-0.048069
all_minilm,43,retrieval,Поиск,-0.00330999999999995
all_minilm,43,sts,STS,0.013408049351381316
all_minilm,43,sts,Классификация,-0.0028219631578947795
all_minilm,43,sts,Кластеризация,-0.04972
all_minilm,43,sts,Поиск,-0.045292499999999944
all_minilm,44,classification,STS,-0.18490610678460392
all_minilm,44,classification,Классификация,-0.059712502631578956
all_minilm,44,classification,Кластеризация,-0.093998
all_minilm,44,classification,Поиск,-0.23743249999999994
all_minilm,44,control,STS,0.011275250176810483
all_minilm,44,control,Классификация,0.006915431578947279
all_minilm,44,control,Кластеризация,-0.017458
all_minilm,44,control,Поиск,-0.00115999999999995
all_minilm,44,retrieval,STS,0.001507988912506716
all_minilm,44,retrieval,Классификация,0.00533801842105258
all_minilm,44,retrieval,Кластеризация,-0.0506145
all_minilm,44,retrieval,Поиск,-0.003699999999999975
all_minilm,44,sts,STS,0.012571178071301916
all_minilm,44,sts,Классификация,-0.004030831578947421
all_minilm,44,sts,Кластеризация,-0.0451565
all_minilm,44,sts,Поиск,-0.04179999999999995
