model,branch,family,mean,std
all_minilm,classification,STS,-0.18424849418600572,0.0024209798546271015
all_minilm,classification,Классификация,-0.05849918508771932,0.0016878588514728967
all_minilm,classification,Кластеризация,-0.09131133333333331,0.0024889936386687217
all_minilm,classification,Поиск,-0.24196666666666664,0.005730548802979825
all_minilm,control,STS,0.011695714437416578,0.0003733915134365766
all_minilm,control,Классификация,0.00796842982456134,0.0009719312448799074
all_minilm,control,Кластеризация,-0.03333216666666667,0.013759671710594456
all_minilm,control,Поиск,-0.005435833333333292,0.004230744861526565
all_minilm,retrieval,STS,0.0002607573991200555,0.0011751006840087512
all_minilm,retrieval,Классификация,0.0053090491228069804,8.959099733154199e-05
all_minilm,retrieval,Кластеризация,-0.046219,0.005556491271476996
all_minilm,retrieval,Поиск,-0.003929999999999959,0.0007615116545398329
all_minilm,sts,STS,0.012352283199295115,0.0011805333242275687
all_minilm,sts,Классификация,-0.0037384017543860074,0.000810790309166675
all_minilm,sts,Кластеризация,-0.045657833333333335,0.0038361482744197093
all_minilm,sts,Поиск,-0.041479999999999954,0.003982154724517854
