model,seed,branch,delta_classification_inter_distance,delta_classification_intra_distance,delta_classification_margin,delta_cosine_std,delta_dimension,delta_effective_rank,delta_hubness_skew_k10,delta_mean_cosine,delta_neighborhood_preservation,delta_participation_ratio,delta_retrieval_margin,delta_retrieval_negative_cosine,delta_retrieval_positive_cosine,delta_sample_size,delta_sts_alignment,delta_sts_mean_cosine,delta_top10_eigenvalue_share,delta_top_eigenvalue_share,delta_uniformity,STS,Классификация,Кластеризация,Поиск
all_minilm,42,control,0.008915603160857932,0.042930006980895996,-0.0340144038200378,-0.0156364142894745,0.0,39.82196044921881,-0.4682614559481024,-0.039740636944770806,-0.5458000000000001,61.71252365555043,-0.0012635588645935059,-0.0649141669273377,-0.06617772579193115,0.0,0.05692973732948303,-0.04183429479598999,-0.0721011534333229,-0.016198927536606803,-0.18190813064575195,0.011823311366557017,0.00883115263157888,-0.0418495,-0.00552749999999995
all_minilm,42,sts,-0.603284239768982,-0.5598957240581512,-0.043388515710830695,-0.017833024263381902,0.0,-31.40483093261713,2.438609278178954,0.5852545090019703,-0.61746,-35.25228528187384,-0.1100462228059769,0.2079795002937317,0.09793329238891602,0.0,-0.18603872507810587,0.224345862865448,0.05411162972450259,0.008970839902758602,2.31241512298584,0.011077622175202117,-0.004362410526315821,-0.042097,-0.03734749999999998
all_minilm,42,classification,-0.7060526013374331,-0.80411396920681,0.0980613678693771,-0.004574127495288793,0.0,-157.85093307495112,0.9609082333231915,0.7670256681740284,-0.86521,-123.33307686947359,-0.171182569116354,0.22289222478866577,0.051709651947021484,0.0,-0.20163331180810928,0.25049829483032227,0.4038824439048768,0.2311833556741476,3.0521810054779053,-0.18627272904850847,-0.059213421052631623,-0.09085199999999996,-0.24840749999999995
all_minilm,42,retrieval,-0.00011003017425548212,0.015538573265075684,-0.015648603439331096,-0.005080327391624395,0.0,15.650802612304744,-0.05637283381482683,-0.006941411644220401,-0.32615000000000005,19.73224238031213,0.05942898988723758,-0.07825967669487,-0.018830597400665283,0.0,0.04257571697235113,-0.025564908981323242,-0.022716358304023715,-0.0059219915419817006,-0.035994529724121094,-0.0008256453296989497,0.00520855789473682,-0.039973499999999995,-0.00477999999999995
all_minilm,43,control,0.007888853549957386,0.042420804500579834,-0.0345319509506225,-0.01480599492788319,0.0,37.610214233398494,-0.32177291454921875,-0.037413137033581796,-0.55681,57.366833409478005,-0.0006450712680816928,-0.06780493259429937,-0.0684499740600586,0.0,0.04845359921455383,-0.03830456733703613,-0.066825695335865,-0.014858111739158601,-0.1716244220733656,0.011988581768882234,0.00815870526315786,-0.040689,-0.009619999999999974
all_minilm,43,sts,-0.6107211112976073,-0.5664688348770142,-0.0442522764205933,-0.02090030908584599,0.0,-30.512329101562443,3.3007206766833237,0.6028965674340725,-0.62418,-33.52698003211255,-0.1135636493563652,0.21644043922424316,0.10287678241729736,0.0,-0.18875430524349207,0.22783052921295166,0.050602987408638084,0.007965588942170202,2.3799374103546134,0.013408049351381316,-0.0028219631578947795,-0.04972,-0.045292499999999944
all_minilm,43,classification,-0.7086130976676941,-0.8039992451667786,0.0953861474990845,-0.004648618400096893,0.0,-156.857192993164,0.8426192299173618,0.7640415988862514,-0.86426,-122.85938014732002,-0.1685229875147343,0.21310681104660034,0.044583916664123535,0.0,-0.19948618859052658,0.24680501222610474,0.40156424045562755,0.22062266431748867,3.040367305278777,-0.18156664672490472,-0.05657163157894738,-0.089084,-0.24005999999999997
all_minilm,43,retrieval,0.00227111577987682,0.018269479274749756,-0.015998363494873005,-0.004945948719978388,0.0,15.175521850586023,-0.039905439685480326,-0.007914870977401796,-0.31904999999999994,19.01185893676785,0.058061927556991605,-0.07460799813270569,-0.016546130180358887,0.0,0.04259848594665533,-0.025607049465179443,-0.02188755571842191,-0.0056621674448252,-0.039647817611695224,9.992861455240014e-05,0.00538057105263154,-0.048069,-0.00330999999999995
all_minilm,44,control,0.010513544082641602,0.03797423839569092,-0.027460694313049296,-0.0128533616662026,0.0,32.02673339843753,-0.24640572369141522,-0.0380194550380111,-0.43555,47.30850329187297,-0.000329554080963107,-0.041435003280639704,-0.04176449775695801,0.0,0.03748565912246704,-0.028500795364379883,-0.05465814471244809,-0.012200055643916102,-0.17105531692504883,0.011275250176810483,0.006915431578947279,-0.017458,-0.00115999999999995
all_minilm,44,sts,-0.6022572219371796,-0.5581591129302979,-0.0440981090068817,-0.0199070051312447,0.0,-26.812957763671818,3.0904628262343197,0.5874503552913666,-0.6262300000000001,-30.294425621443423,-0.1116502285003662,0.20687896013259888,0.09522867202758789,0.0,-0.18582856655120847,0.2244749665260315,0.045617625117301996,0.0070095937699079965,2.319612503051758,0.012571178071301916,-0.004030831578947421,-0.0451565,-0.04179999999999995
