,seed,delta_classification_inter_distance,delta_classification_intra_distance,delta_classification_margin,delta_cosine_std,delta_dimension,delta_effective_rank,delta_hubness_skew_k10,delta_mean_cosine,delta_neighborhood_preservation,delta_participation_ratio,delta_retrieval_margin,delta_retrieval_negative_cosine,delta_retrieval_positive_cosine,delta_sample_size,delta_sts_alignment,delta_sts_mean_cosine,delta_top10_eigenvalue_share,delta_top_eigenvalue_share,delta_uniformity,STS,Классификация,Кластеризация,Поиск
seed,1.0,0.0005979856753971495,-1.9783653245306118e-05,0.003709727584727729,0.019827881379709075,,-0.0047596125111923114,0.06204291467028552,0.001203126379242196,0.05332490837140228,-0.015473347704772834,-0.0011519533605335024,0.012501274195254448,0.027347444253693367,,-0.015442372695015132,0.007662078641804706,0.004967164220425938,0.0007581133771423542,0.0014716043340523228,0.005682720953391441,-0.007365809369971496,0.033527525937864,0.012384625903729686
delta_classification_inter_distance,0.0005979856753971495,1.0,0.9918177123786869,-0.5421696110636749,0.08450426119403703,,0.8545234627942528,-0.7493433625347066,-0.9976267661953009,0.8636596284927275,0.9063658147011519,0.962271998901494,-0.9931623627790037,-0.8800560345494436,,0.9969959356633995,-0.9982893821905345,-0.8016655972150177,-0.715706251927656,-0.9972744889019091,0.6387381589034615,0.7713341358126726,0.6999515367358573,0.7687914431066305
delta_classification_intra_distance,-1.9783653245306118e-05,0.9918177123786869,1.0,-0.6450039824976971,-0.03084589251914079,,0.9136884055192454,-0.6630697712271728,-0.9979955099971222,0.8938933669650696,0.9497443509880875,0.9666186739954941,-0.9728185954697035,-0.8263172080416755,,0.9803839521841186,-0.9842729698225063,-0.87139754034518,-0.7986342346942702,-0.9982119305453798,0.7314783444245574,0.8459509906118956,0.7758085714729824,0.8431887003365921
delta_classification_margin,0.003709727584727729,-0.5421696110636749,-0.6450039824976971,1.0,0.7088651294482744,,-0.8987396961136495,-0.12122305679087768,0.597037776869804,-0.7137606250926661,-0.8257333166533728,-0.6021480872237077,0.45804765445615914,0.1708279933015852,,-0.4848950675684353,0.5027499778670786,0.936786805034501,0.9724088670413965,0.6005709655584964,-0.9911176132179116,-0.9508608543456013,-0.9164778579577554,-0.9478999597032903
delta_cosine_std,0.019827881379709075,0.08450426119403703,-0.03084589251914079,0.7088651294482744,1.0,,-0.4074325224206331,-0.5747830321137155,-0.018526492134335198,-0.021852160143916242,-0.340942307505384,0.10180957800849867,-0.18598565972134606,-0.2811709497129647,,0.1352591409064941,-0.11364041998347325,0.4716467986623611,0.5398668636182867,-0.013252923406193986,-0.6146754349817581,-0.48591542069594884,-0.5442311262844829,-0.46284549488063886
delta_dimension,,,,,,,,,,,,,,,,,,,,,,,,
delta_effective_rank,-0.0047596125111923114,0.8545234627942528,0.9136884055192454,-0.8987396961136495,-0.4074325224206331,,1.0,-0.31907092015169486,-0.8876030654270894,0.8767657800975734,0.985430631645169,0.863828106252601,-0.7978600237239377,-0.572233468491354,,0.8183079797172077,-0.8301975550828631,-0.9950619124255944,-0.9702566195952569,-0.8896950171951886,0.9419872323944143,0.9862885435344686,0.9323064785225911,0.9814970478722459
delta_hubness_skew_k10,0.06204291467028552,-0.7493433625347066,-0.6630697712271728,-0.12122305679087768,-0.5747830321137155,,-0.31907092015169486,1.0,0.7086398984080744,-0.4003427588101454,-0.4502442152614537,-0.6235671940211273,0.8014489865972931,0.9372255991175198,,-0.7931089944228736,0.7823053075278855,0.22537470195148684,0.09038557881307667,0.7059921338417363,0.01199200106646391,-0.1716923642230009,-0.13557904377730454,-0.16741455246143294
delta_mean_cosine,0.001203126379242196,-0.9976267661953009,-0.9979955099971222,0.597037776869804,-0.018526492134335198,,-0.8876030654270894,0.7086398984080744,1.0,-0.8754582446545774,-0.9328507401631009,-0.9625901164352886,0.9838340872487278,0.8579014218535687,,-0.9904425107107607,0.9932595646326373,0.8397568512987968,0.7596703421417598,0.9999857944466777,-0.6877831169745986,-0.811147668665952,-0.7435103718476739,-0.8080354721156964
delta_neighborhood_preservation,0.05332490837140228,0.8636596284927275,0.8938933669650696,-0.7137606250926661,-0.021852160143916242,,0.8767657800975734,-0.4003427588101454,-0.8754582446545774,1.0,0.842004459171588,0.9570351620127024,-0.8390591033974609,-0.5296362371402998,,0.8310460331352439,-0.8355324875741404,-0.8654653438525753,-0.8457585029046925,-0.8752871525378036,0.7977771342609796,0.8704694225357259,0.7858415495325312,0.8875571700862557
delta_participation_ratio,-0.015473347704772834,0.9063658147011519,0.9497443509880875,-0.8257333166533728,-0.340942307505384,,0.985430631645169,-0.4502442152614537,-0.9328507401631009,0.842004459171588,1.0,0.875129064646415,-0.8575647244994474,-0.69423401197192,,0.8805713137525207,-0.8908487130822501,-0.965193404052033,-0.9171490969275916,-0.9347083656677173,0.8770330749590859,0.9448752708118058,0.8967859487487487,0.9351388288281124
delta_retrieval_margin,-0.0011519533605335024,0.962271998901494,0.9666186739954941,-0.6021480872237077,0.10180957800849867,,0.863828106252601,-0.6235671940211273,-0.9625901164352886,0.9570351620127024,0.875129064646415,1.0,-0.9573244024359986,-0.7407507132161811,,0.9490608286859967,-0.9496514454460261,-0.8274882328916018,-0.7701403568756591,-0.9619413555420698,0.700385567040461,0.8149336852437554,0.7068045333397779,0.8226650512931933
delta_retrieval_negative_cosine,0.012501274195254448,-0.9931623627790037,-0.9728185954697035,0.45804765445615914,-0.18598565972134606,,-0.7978600237239377,0.8014489865972931,0.9838340872487278,-0.8390591033974609,-0.8575647244994474,-0.9573244024359986,1.0,0.9032936031619269,,-0.9975092661212289,0.9960008122856373,0.7386361185112197,0.6460824041040973,0.9829520158012818,-0.5617284188466638,-0.7069402817802009,-0.6176302130978074,-0.7053177949995202
delta_retrieval_positive_cosine,0.027347444253693367,-0.8800560345494436,-0.8263172080416755,0.1708279933015852,-0.2811709497129647,,-0.572233468491354,0.9372255991175198,0.8579014218535687,-0.5296362371402998,-0.69423401197192,-0.7407507132161811,0.9032936031619269,1.0,,-0.9097708994516064,0.9053879600139784,0.48851895613077306,0.35851839477839026,0.8568141982588595,-0.2659942570627414,-0.4334823192420557,-0.3864022811368972,-0.4182343958990225
delta_sample_size,,,,,,,,,,,,,,,,,,,,,,,,
delta_sts_alignment,-0.015442372695015132,0.9969959356633995,0.9803839521841186,-0.4848950675684353,0.1352591409064941,,0.8183079797172077,-0.7931089944228736,-0.9904425107107607,0.8310460331352439,0.8805713137525207,0.9490608286859967,-0.9975092661212289,-0.9097708994516064,,1.0,-0.9996373059675707,-0.759765706526957,-0.6661798990399677,-0.989857075986943,0.5844297138097373,0.7261682823417671,0.6482735704465931,0.7222754233344136
delta_sts_mean_cosine,0.007662078641804706,-0.9982893821905345,-0.9842729698225063,0.5027499778670786,-0.11364041998347325,,-0.8301975550828631,0.7823053075278855,0.9932595646326373,-0.8355324875741404,-0.8908487130822501,-0.9496514454460261,0.9960008122856373,0.9053879600139784,,-0.9996373059675707,1.0,0.7729702764450733,0.6808135460875521,0.9927877165155801,-0.6006426990392272,-0.7396094142179209,-0.6662396648702836,-0.7355985815570427
delta_top10_eigenvalue_share,0.004967164220425938,-0.8016655972150177,-0.87139754034518,0.936786805034501,0.4716467986623611,,-0.9950619124255944,0.22537470195148684,0.8397568512987968,-0.8654653438525753,-0.965193404052033,-0.8274882328916018,0.7386361185112197,0.48851895613077306,,-0.759765706526957,0.7729702764450733,1.0,0.9892639904887564,0.8421395951823482,-0.9705731684747221,-0.9971755132493164,-0.9440625574981236,-0.993562689875478
delta_top_eigenvalue_share,0.0007581133771423542,-0.715706251927656,-0.7986342346942702,0.9724088670413965,0.5398668636182867,,-0.9702566195952569,0.09038557881307667,0.7596703421417598,-0.8457585029046925,-0.9171490969275916,-0.7701403568756591,0.6460824041040973,0.35851839477839026,,-0.6661798990399677,0.6808135460875521,0.9892639904887564,1.0,0.7623317493264973,-0.9942605153195463,-0.9963598622154626,-0.9438660741285358,-0.995407000978303
