branch,family,mean,std
mix_s000_c000_r100,classification,0.0,0.0
mix_s000_c000_r100,classification_transfer,0.0,0.0
mix_s000_c000_r100,clustering,0.0,0.0
mix_s000_c000_r100,retrieval,0.0,0.0
mix_s000_c000_r100,sts,0.0,0.0
mix_s000_c020_r080,classification,0.013786734912280635,0.0005931638927997782
mix_s000_c020_r080,classification_transfer,0.016000962499999934,0.001151161189639058
mix_s000_c020_r080,clustering,0.0037138666666666664,0.009743784044370634
mix_s000_c020_r080,retrieval,0.04488616666666667,0.0015504157775684964
mix_s000_c020_r080,sts,0.0286331531569224,0.001966973850966516
mix_s000_c040_r060,classification,0.018690181228070132,0.0015746435146512798
mix_s000_c040_r060,classification_transfer,0.021742112499999966,0.0023608760506231667
mix_s000_c040_r060,clustering,-0.0015275999999999664,0.00456393505979204
mix_s000_c040_r060,retrieval,0.080474,0.003247941347992606
mix_s000_c040_r060,sts,0.021935487883466998,0.0023113007723337487
mix_s000_c060_r040,classification,0.018842455614035036,0.002406219339345292
mix_s000_c060_r040,classification_transfer,0.021971929166666567,0.003353426801244078
mix_s000_c060_r040,clustering,0.0009107666666666334,0.0065056451381344926
mix_s000_c060_r040,retrieval,0.10277266666666664,0.0059182412998570475
mix_s000_c060_r040,sts,0.018235188634393468,0.0014074005247999369
mix_s000_c080_r020,classification,0.018950690526315733,0.0005581374555517739
mix_s000_c080_r020,classification_transfer,0.022749766666666633,0.0009830642153279795
mix_s000_c080_r020,clustering,0.008168633333333333,0.001554486443599086
mix_s000_c080_r020,retrieval,0.11393133333333333,0.006943688165041218
mix_s000_c080_r020,sts,0.022567755623058,0.005486317461125864
mix_s000_c100_r000,classification,0.0,0.0
mix_s000_c100_r000,classification_transfer,0.0,0.0
mix_s000_c100_r000,clustering,0.0,0.0
mix_s000_c100_r000,retrieval,0.0,0.0
mix_s000_c100_r000,sts,0.0,0.0
mix_s020_c000_r080,classification,0.005456595789473634,0.0005737078664586593
mix_s020_c000_r080,classification_transfer,0.005662849999999934,0.0012494295555873088
mix_s020_c000_r080,clustering,0.0169235333333333,0.008036354609108134
mix_s020_c000_r080,retrieval,0.012717833333333267,0.001782252390469205
mix_s020_c000_r080,sts,-0.0005774864448024,0.0014792135955582707
mix_s020_c020_r060,classification,0.01695078947368413,0.0016549869266874048
mix_s020_c020_r060,classification_transfer,0.0193354166666666,0.0022904496662205466
mix_s020_c020_r060,clustering,0.011447399999999934,0.009574244877273576
mix_s020_c020_r060,retrieval,0.0508548333333333,0.002938530259046691
mix_s020_c020_r060,sts,0.012578533751532934,0.0036120354117926954
mix_s020_c040_r040,classification,0.017232280526315768,0.001023273296893655
mix_s020_c040_r040,classification_transfer,0.0201434208333333,0.0015398726906760026
mix_s020_c040_r040,clustering,0.016123433333333333,0.005293279427097472
mix_s020_c040_r040,retrieval,0.0784851666666666,0.004286987792533718
mix_s020_c040_r040,sts,0.0084459834816036,0.001352072287160573
mix_s020_c060_r020,classification,0.011722755789473599,0.001773303278502159
mix_s020_c060_r020,classification_transfer,0.013328883333333265,0.002538238900926615
mix_s020_c060_r020,clustering,0.011713799999999967,0.0003221741609751361
mix_s020_c060_r020,retrieval,0.08635549999999997,0.004539804290935941
mix_s020_c060_r020,sts,0.011364610684411932,0.007785425819395417
mix_s020_c080_r000,classification,-0.0035817733333333,0.0005277482513561883
mix_s020_c080_r000,classification_transfer,-0.0048522166666666,0.0007781843292977724
mix_s020_c080_r000,clustering,0.013529166666666599,0.005126051037917346
mix_s020_c080_r000,retrieval,0.02045,0.001237124791603499
mix_s020_c080_r000,sts,0.03957783223617933,0.0020559507387409395
mix_s033_c033_r033,classification,0.015301937134502867,0.0011191880975048398
mix_s033_c033_r033,classification_transfer,0.017881076388888834,0.0014448125293395424
mix_s033_c033_r033,clustering,0.013164999999999934,0.003357210825637508
mix_s033_c033_r033,retrieval,0.06401555555555553,0.002816754724133053
mix_s033_c033_r033,sts,0.005003477561241533,0.0012067054423284126
mix_s040_c000_r060,classification,0.009127779298245533,0.00048006506255329876
mix_s040_c000_r060,classification_transfer,0.0096750749999999,0.0004934140713247354
mix_s040_c000_r060,clustering,0.0176477333333333,0.0028775853181675056
mix_s040_c000_r060,retrieval,0.018656499999999934,0.003824328012867086
mix_s040_c000_r060,sts,-0.004649941287299067,0.0011264613091700741
mix_s040_c020_r040,classification,0.016970056315789434,0.0008719659097756202
mix_s040_c020_r040,classification_transfer,0.019616079166666633,0.0011184032430723277
mix_s040_c020_r040,clustering,0.012398266666666666,0.005046264900233967
mix_s040_c020_r040,retrieval,0.052417666666666606,0.002636228192576124
mix_s040_c020_r040,sts,0.003655992466278466,0.0012591376190725285
mix_s040_c040_r020,classification,0.0104985429824561,0.0018645066372229514
mix_s040_c040_r020,classification_transfer,0.011818354166666633,0.002339796833338816
mix_s040_c040_r020,clustering,0.0168131333333333,0.0009911442192401905
mix_s040_c040_r020,retrieval,0.06389966666666667,0.0038703432126018624
mix_s040_c040_r020,sts,0.014665052273436133,0.0032862047646020636
mix_s040_c060_r000,classification,0.0007568866666666334,0.0010441691472865356
mix_s040_c060_r000,classification_transfer,0.0004044416666666667,0.001326254797607479
mix_s040_c060_r000,clustering,0.01906399999999993,0.004958109800115304
mix_s040_c060_r000,retrieval,0.0379258333333333,0.004184919125064782
mix_s040_c060_r000,sts,0.057092470560879995,0.0029812877158526176
mix_s060_c000_r040,classification,0.0099903908771929,0.001194432907440618
mix_s060_c000_r040,classification_transfer,0.011229216666666599,0.0017018589000952664
mix_s060_c000_r040,clustering,0.0085996,0.0048279380826601334
mix_s060_c000_r040,retrieval,0.0189843333333333,0.0024980628661692285
mix_s060_c000_r040,sts,-0.0089513379901543,0.0020510773192036597
mix_s060_c020_r020,classification,0.0110725363157894,0.0013394641118147463
mix_s060_c020_r020,classification_transfer,0.0123691791666666,0.0018946704802687636
mix_s060_c020_r020,clustering,0.016009466666666635,0.001504881863580399
mix_s060_c020_r020,retrieval,0.0416188333333333,0.001930330887007003
mix_s060_c020_r020,sts,0.007559863555858433,0.0024640464500123235
mix_s060_c040_r000,classification,0.008576266842105199,0.0037162779850369973
mix_s060_c040_r000,classification_transfer,0.0099352458333333,0.004692287282893921
mix_s060_c040_r000,clustering,0.0256448333333333,0.007869867840271064
mix_s060_c040_r000,retrieval,0.029443333333333304,0.0029410039669020152
mix_s060_c040_r000,sts,0.04814677630513764,0.0029822160690577233
mix_s080_c000_r020,classification,0.0044211226315789,0.0008527484769242916
mix_s080_c000_r020,classification_transfer,0.004458420833333266,0.001082633803099971
mix_s080_c000_r020,clustering,0.0013657999999999997,0.004438584140241076
mix_s080_c000_r020,retrieval,0.008218833333333333,0.00264874188688391
mix_s080_c000_r020,sts,-0.012470738066023966,0.0016767946953789375
mix_s080_c020_r000,classification,0.006681119824561334,0.0011710293703044202
mix_s080_c020_r000,classification_transfer,0.007344820833333266,0.001498303751191068
mix_s080_c020_r000,clustering,0.020307999999999965,0.0028899186857072093
mix_s080_c020_r000,retrieval,0.016846666666666666,0.004560182132693095
mix_s080_c020_r000,sts,0.0270666917085076,0.002043554508965261
mix_s100_c000_r000,classification,0.0,0.0
mix_s100_c000_r000,classification_transfer,0.0,0.0
mix_s100_c000_r000,clustering,0.0,0.0
mix_s100_c000_r000,retrieval,0.0,0.0
mix_s100_c000_r000,sts,0.0,0.0
