family,geometry_metric,pearson_r,n
classification,top_eigenvalue_share,-0.9740599237567871,24
classification,top10_eigenvalue_share,-0.9274495219470562,24
retrieval,retrieval_margin,0.883402520879511,24
sts,classification_margin,-0.8326091159484124,24
sts,effective_rank,0.8100722547250975,24
sts,top10_eigenvalue_share,-0.795158992281568,24
sts,top_eigenvalue_share,-0.7822172575653049,24
retrieval,effective_rank,0.7791985823229624,24
classification,classification_margin,-0.7713231714985819,24
retrieval,participation_ratio,0.7438723770330239,24
clustering,retrieval_positive_cosine,0.7398708104074576,24
retrieval,classification_intra_distance,0.7311498037784046,24
sts,participation_ratio,0.7310837136850871,24
classification,mean_cosine,-0.7056211567429447,24
classification,uniformity,-0.7048990375901119,24
classification,effective_rank,0.7035636339298419,24
retrieval,sts_mean_cosine,-0.687578124551913,24
retrieval,classification_inter_distance,0.6863473277977173,24
clustering,retrieval_margin,0.6846183382698503,24
sts,retrieval_margin,0.6645705323095568,24
classification,classification_intra_distance,0.6645357033244174,24
classification,neighborhood_preservation,0.6436176269081778,24
classification,retrieval_negative_cosine,-0.6375319472670473,24
classification,sts_alignment,0.6367600434398784,24
retrieval,top10_eigenvalue_share,-0.628477187952923,24
sts,classification_intra_distance,0.6094736467286678,24
classification,participation_ratio,0.6066328884563805,24
classification,sts_mean_cosine,-0.5980698994732436,24
classification,classification_inter_distance,0.5690907887203435,24
retrieval,top_eigenvalue_share,-0.5515889506553415,24
sts,sts_mean_cosine,-0.5512815627441754,24
retrieval,uniformity,-0.5445698138624546,24
retrieval,mean_cosine,-0.534196010533484,24
retrieval,classification_margin,-0.5274996032764554,24
clustering,retrieval_negative_cosine,0.5247392561035649,24
sts,classification_inter_distance,0.4984644439407328,24
classification,retrieval_positive_cosine,-0.49769262107968404,24
retrieval,sts_alignment,0.48797784706636294,24
sts,uniformity,-0.4551719705274549,24
sts,mean_cosine,-0.4440392869398711,24
classification,retrieval_margin,0.4429654600614394,24
clustering,effective_rank,0.3854707957729981,24
sts,sts_alignment,0.3848856341741474,24
clustering,cosine_std,-0.38441793688985854,24
sts,neighborhood_preservation,0.3660379790651833,24
clustering,participation_ratio,0.3630445604669077,24
clustering,classification_intra_distance,0.35868938892882624,24
clustering,sts_mean_cosine,-0.35559330067089207,24
retrieval,retrieval_positive_cosine,0.34299683263149633,24
classification,cosine_std,0.3424688702863233,24
clustering,classification_inter_distance,0.3417082887467295,24
retrieval,neighborhood_preservation,0.2901929754936013,24
sts,cosine_std,-0.2522023401955812,24
clustering,classification_margin,-0.23212313728118075,24
clustering,top10_eigenvalue_share,-0.22169443062166336,24
clustering,neighborhood_preservation,-0.19650256869732546,24
sts,retrieval_positive_cosine,0.19641090685054602,24
clustering,top_eigenvalue_share,-0.17838407853977842,24
retrieval,hubness_skew_k10,-0.15787511712051086,24
clustering,uniformity,-0.11386651054797757,24
retrieval,cosine_std,-0.10930531098297683,24
clustering,mean_cosine,-0.10205184673581501,24
classification,hubness_skew_k10,-0.08872349650968434,24
clustering,sts_alignment,0.07050978717180803,24
sts,hubness_skew_k10,0.06940968387194993,24
retrieval,retrieval_negative_cosine,0.06499688066008083,24
clustering,hubness_skew_k10,-0.020053513619749372,24
sts,retrieval_negative_cosine,-0.012764916681110872,24
