branch,objective,pure_target_gain,mixture_target_gain,retained_fraction,pure_worst_non_target,mixture_worst_non_target,worst_delta_improvement,retains_50_percent,attenuates_by_0_01,mixture_meets_attenuation_rule,all_clean_families_nonnegative
mix_s000_c020_r080,classification,0.02074561403508768,0.003991228070175379,0.1923890063424922,-0.25416083333333334,-0.053619666666666684,0.20054116666666666,False,True,False,False
mix_s000_c020_r080,retrieval,-0.003925833333333313,-0.009086666666666637,,-0.047056833333333346,-0.053619666666666684,-0.006562833333333337,False,False,False,False
mix_s000_c040_r060,classification,0.02074561403508768,0.010964912280701733,0.5285412262156448,-0.25416083333333334,-0.06913783333333334,0.185023,True,True,False,False
mix_s000_c040_r060,retrieval,-0.003925833333333313,-0.023545833333333308,,-0.047056833333333346,-0.06913783333333334,-0.022080999999999996,False,False,False,False
mix_s000_c060_r040,classification,0.02074561403508768,0.016228070175438553,0.7822410147991538,-0.25416083333333334,-0.09643326079906626,0.15772757253426706,True,True,False,False
mix_s000_c060_r040,retrieval,-0.003925833333333313,-0.05129416666666666,,-0.047056833333333346,-0.09643326079906626,-0.04937642746573292,False,False,False,False
mix_s000_c080_r020,classification,0.02074561403508768,0.01907894736842101,0.9196617336152219,-0.25416083333333334,-0.13040055521831267,0.12376027811502066,True,True,False,False
mix_s000_c080_r020,retrieval,-0.003925833333333313,-0.09018249999999998,,-0.047056833333333346,-0.13040055521831267,-0.08334372188497932,False,False,False,False
mix_s020_c000_r080,sts,0.010848675273712242,0.0017771564421584969,0.16381322118330696,-0.049525333333333345,-0.030627000000000015,0.01889833333333333,False,True,False,False
mix_s020_c000_r080,retrieval,-0.003925833333333313,0.0013841666666666863,,-0.047056833333333346,-0.030627000000000015,0.01642983333333333,False,True,False,False
mix_s020_c020_r060,sts,0.010848675273712242,-0.023366684769417074,-2.1538744759037636,-0.049525333333333345,-0.04637983333333334,0.0031455000000000025,False,False,False,False
mix_s020_c020_r060,classification,0.02074561403508768,0.007982456140350832,0.384778012684988,-0.25416083333333334,-0.04637983333333334,0.207781,False,True,False,False
mix_s020_c020_r060,retrieval,-0.003925833333333313,-0.010525833333333326,,-0.047056833333333346,-0.04637983333333334,0.000677000000000004,False,False,False,False
mix_s020_c040_r040,sts,0.010848675273712242,-0.06579909644725733,-6.06517337713086,-0.049525333333333345,-0.051980500000000006,-0.002455166666666661,False,False,False,False
mix_s020_c040_r040,classification,0.02074561403508768,0.011578947368421022,0.5581395348837206,-0.25416083333333334,-0.06579909644725733,0.188361736886076,True,True,False,False
mix_s020_c040_r040,retrieval,-0.003925833333333313,-0.03294249999999999,,-0.047056833333333346,-0.06579909644725733,-0.018742263113923983,False,False,False,False
mix_s020_c060_r020,sts,0.010848675273712242,-0.10118033065235998,-9.326514813982232,-0.049525333333333345,-0.07511916666666665,-0.02559383333333331,False,False,False,False
mix_s020_c060_r020,classification,0.02074561403508768,0.016710526315789436,0.8054968287526425,-0.25416083333333334,-0.10118033065235998,0.15298050268097335,True,True,False,False
mix_s020_c060_r020,retrieval,-0.003925833333333313,-0.07511916666666665,,-0.047056833333333346,-0.10118033065235998,-0.05412349731902664,False,False,False,False
mix_s020_c080_r000,sts,0.010848675273712242,-0.11126697050850354,-10.25627255874438,-0.049525333333333345,-0.19107166666666664,-0.1415463333333333,False,False,False,False
mix_s020_c080_r000,classification,0.02074561403508768,0.018333333333333274,0.883720930232557,-0.25416083333333334,-0.19107166666666664,0.0630891666666667,True,True,False,False
mix_s040_c000_r060,sts,0.010848675273712242,-0.00017179030365039994,-0.01583514109475378,-0.049525333333333345,-0.03039650000000001,0.019128833333333334,False,True,False,False
mix_s040_c000_r060,retrieval,-0.003925833333333313,-8.499999999998786e-05,,-0.047056833333333346,-0.03039650000000001,0.016660333333333336,False,True,False,False
mix_s040_c020_r040,sts,0.010848675273712242,-0.030165717957983697,-2.780589998032218,-0.049525333333333345,-0.04592266666666667,0.0036026666666666776,False,False,False,False
mix_s040_c020_r040,classification,0.02074561403508768,0.008464912280701712,0.40803382663847654,-0.25416083333333334,-0.04592266666666667,0.20823816666666667,False,True,False,False
mix_s040_c020_r040,retrieval,-0.003925833333333313,-0.016370833333333324,,-0.047056833333333346,-0.04592266666666667,0.0011341666666666791,False,False,False,False
mix_s040_c040_r020,sts,0.010848675273712242,-0.057456519558736985,-5.296178391288164,-0.049525333333333345,-0.05493583333333332,-0.005410499999999978,False,False,False,False
mix_s040_c040_r020,classification,0.02074561403508768,0.012719298245613983,0.6131078224101467,-0.25416083333333334,-0.057456519558736985,0.19670431377459635,True,True,False,False
mix_s040_c040_r020,retrieval,-0.003925833333333313,-0.05493583333333332,,-0.047056833333333346,-0.057456519558736985,-0.010399686225403638,False,False,False,False
mix_s040_c060_r000,sts,0.010848675273712242,-0.05332896267920407,-4.915711949497384,-0.049525333333333345,-0.13095666666666664,-0.0814313333333333,False,False,False,False
mix_s040_c060_r000,classification,0.02074561403508768,0.015087719298245558,0.727272727272726,-0.25416083333333334,-0.13095666666666664,0.1232041666666667,True,True,False,False
mix_s060_c000_r040,sts,0.010848675273712242,-0.002349678909817786,-0.2165867122515285,-0.049525333333333345,-0.03993833333333333,0.009587000000000012,False,False,False,False
