branch,sts_delta,ag_news_delta,retrieval_delta,pareto_mean,pareto_bootstrap_frequency
mix_s000_c000_r100,0.0002311347902730601,-0.006359649122807065,-0.003925833333333313,False,0.0
mix_s000_c020_r080,-0.009435573460715465,0.003991228070175379,-0.009086666666666637,True,0.5834
mix_s000_c040_r060,-0.05443310014208178,0.010964912280701733,-0.023545833333333308,True,1.0
mix_s000_c060_r040,-0.09643326079906626,0.016228070175438553,-0.05129416666666666,True,1.0
mix_s000_c080_r020,-0.13040055521831267,0.01907894736842101,-0.09018249999999998,True,1.0
mix_s000_c100_r000,-0.19126817224928164,0.02074561403508768,-0.25416083333333334,True,0.9618
mix_s020_c000_r080,0.0017771564421584969,-0.00021929824561410052,0.0013841666666666863,True,0.9643
mix_s020_c020_r060,-0.023366684769417074,0.007982456140350832,-0.010525833333333326,True,1.0
mix_s020_c040_r040,-0.06579909644725733,0.011578947368421022,-0.03294249999999999,True,0.9637
mix_s020_c060_r020,-0.10118033065235998,0.016710526315789436,-0.07511916666666665,True,1.0
mix_s020_c080_r000,-0.11126697050850354,0.018333333333333274,-0.19107166666666664,True,1.0
mix_s033_c033_r033,-0.055059309833857206,0.010175438596491171,-0.035668333333333316,False,0.5115
mix_s040_c000_r060,-0.00017179030365039994,0.0035964912280701164,-8.499999999998786e-05,True,1.0
mix_s040_c020_r040,-0.030165717957983697,0.008464912280701712,-0.016370833333333324,True,0.7499
mix_s040_c040_r020,-0.057456519558736985,0.012719298245613983,-0.05493583333333332,True,1.0
mix_s040_c060_r000,-0.05332896267920407,0.015087719298245558,-0.13095666666666664,True,1.0
mix_s060_c000_r040,-0.002349678909817786,0.0032017543859648536,-0.007164999999999977,False,0.0
mix_s060_c020_r020,-0.02413833877171588,0.009473684210526264,-0.034577499999999976,True,0.9643
mix_s060_c040_r000,-0.02185128743034762,0.01214912280701752,-0.09679999999999998,True,1.0
mix_s080_c000_r020,-0.003745570888999633,0.003947368421052588,-0.025338333333333313,True,0.6216
mix_s080_c020_r000,-0.0025080025223789206,0.00912280701754383,-0.06675749999999998,True,1.0
mix_s100_c000_r000,0.010848675273712242,0.0011842105263157137,-0.04096499999999998,True,1.0
